"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;1.32688851929782e+43;100;74;"create_sampling_strahler"
"FR_Arto";1990;13462864671622948;100;74;"create_sampling_strahler"
"FR_Bret";1990;20729543.2465268;100;74;"create_sampling_strahler"
"FR_Garo";1990;10110634.0776885;100;74;"create_sampling_strahler"
"FR_Loir";1990;27486515.6231214;100;74;"create_sampling_strahler"
"FR_Rhon";1990;9007654.76497233;100;74;"create_sampling_strahler"
"FR_Sein";1990;20202047.8794534;100;74;"create_sampling_strahler"
"FR_Adou";1991;2.06068903668907e+43;100;74;"create_sampling_strahler"
"FR_Arto";1991;15316948995718862;100;74;"create_sampling_strahler"
"FR_Bret";1991;17094689.9958327;100;74;"create_sampling_strahler"
"FR_Garo";1991;10147493.5505053;100;74;"create_sampling_strahler"
"FR_Loir";1991;19281554.1266333;100;74;"create_sampling_strahler"
"FR_Rhon";1991;8783342.18479368;100;74;"create_sampling_strahler"
"FR_Sein";1991;16121378.8946062;100;74;"create_sampling_strahler"
"FR_Adou";1992;3.24194680266892e+43;100;74;"create_sampling_strahler"
"FR_Arto";1992;17563474373602464;100;74;"create_sampling_strahler"
"FR_Bret";1992;14400676.4399616;100;74;"create_sampling_strahler"
"FR_Garo";1992;10096985.377711;100;74;"create_sampling_strahler"
"FR_Loir";1992;13661736.635617;100;74;"create_sampling_strahler"
"FR_Rhon";1992;8544130.98837711;100;74;"create_sampling_strahler"
"FR_Sein";1992;12869470.3043227;100;74;"create_sampling_strahler"
"FR_Adou";1993;5.23013082582815e+43;100;74;"create_sampling_strahler"
"FR_Arto";1993;20410511046324372;100;74;"create_sampling_strahler"
"FR_Bret";1993;12708292.876531;100;74;"create_sampling_strahler"
"FR_Garo";1993;9862595.7402179;100;74;"create_sampling_strahler"
"FR_Loir";1993;9908445.65872058;100;74;"create_sampling_strahler"
"FR_Rhon";1993;8270542.77296499;100;74;"create_sampling_strahler"
"FR_Sein";1993;10308784.064222;100;74;"create_sampling_strahler"
"FR_Adou";1994;8.69566531415298e+43;100;74;"create_sampling_strahler"
"FR_Arto";1994;24006481159272556;100;74;"create_sampling_strahler"
"FR_Bret";1994;12001135.3499961;100;74;"create_sampling_strahler"
"FR_Garo";1994;9383728.0645506;100;74;"create_sampling_strahler"
"FR_Loir";1994;7463069.57971102;100;74;"create_sampling_strahler"
"FR_Rhon";1994;7951073.56783058;100;74;"create_sampling_strahler"
"FR_Sein";1994;8341617.77017872;100;74;"create_sampling_strahler"
"FR_Adou";1995;1.47934130445809e+44;100;74;"create_sampling_strahler"
"FR_Arto";1995;28322276629976580;100;74;"create_sampling_strahler"
"FR_Bret";1995;12245515.473389;100;74;"create_sampling_strahler"
"FR_Garo";1995;8675945.95234208;100;74;"create_sampling_strahler"
"FR_Loir";1995;5912020.69420054;100;74;"create_sampling_strahler"
"FR_Rhon";1995;7588394.99365879;100;74;"create_sampling_strahler"
"FR_Sein";1995;6886517.26453202;100;74;"create_sampling_strahler"
"FR_Adou";1996;2.52294083209134e+44;100;74;"create_sampling_strahler"
"FR_Arto";1996;33070295639292936;100;74;"create_sampling_strahler"
"FR_Bret";1996;13421619.807088;100;74;"create_sampling_strahler"
"FR_Garo";1996;7830980.4038885;100;74;"create_sampling_strahler"
"FR_Loir";1996;4969259.5658337;100;74;"create_sampling_strahler"
"FR_Rhon";1996;7199818.6114901;100;74;"create_sampling_strahler"
"FR_Sein";1996;5862106.51401812;100;74;"create_sampling_strahler"
"FR_Adou";1997;4.17950726180689e+44;100;74;"create_sampling_strahler"
"FR_Arto";1997;37730249979327712;100;74;"create_sampling_strahler"
"FR_Bret";1997;15471178.8054314;100;74;"create_sampling_strahler"
"FR_Garo";1997;6978137.12392774;100;74;"create_sampling_strahler"
"FR_Loir";1997;4448969.98855194;100;74;"create_sampling_strahler"
"FR_Rhon";1997;6812835.33249621;100;74;"create_sampling_strahler"
"FR_Sein";1997;5186244.62609774;100;74;"create_sampling_strahler"
"FR_Adou";1998;6.47851633474806e+44;100;74;"create_sampling_strahler"
"FR_Arto";1998;41712070716564304;100;74;"create_sampling_strahler"
"FR_Bret";1998;18154724.3841523;100;74;"create_sampling_strahler"
"FR_Garo";1998;6236095.24249744;100;74;"create_sampling_strahler"
"FR_Loir";1998;4236735.64702894;100;74;"create_sampling_strahler"
"FR_Rhon";1998;6458177.84541355;100;74;"create_sampling_strahler"
"FR_Sein";1998;4786795.01963322;100;74;"create_sampling_strahler"
"FR_Adou";1999;9.06162685003549e+44;100;74;"create_sampling_strahler"
"FR_Arto";1999;44569664193162472;100;74;"create_sampling_strahler"
"FR_Bret";1999;20887716.4628985;100;74;"create_sampling_strahler"
"FR_Garo";1999;5684728.97528112;100;74;"create_sampling_strahler"
"FR_Loir";1999;4264862.54645639;100;74;"create_sampling_strahler"
"FR_Rhon";1999;6163306.27495033;100;74;"create_sampling_strahler"
"FR_Sein";1999;4611886.23050193;100;74;"create_sampling_strahler"
"FR_Adou";2000;1.11262922680932e+45;100;74;"create_sampling_strahler"
"FR_Arto";2000;46125363832781584;100;74;"create_sampling_strahler"
"FR_Bret";2000;22751209.9594285;100;74;"create_sampling_strahler"
"FR_Garo";2000;5363810.84166679;100;74;"create_sampling_strahler"
"FR_Loir";2000;4492752.20781187;100;74;"create_sampling_strahler"
"FR_Rhon";2000;5948165.3425448;100;74;"create_sampling_strahler"
"FR_Sein";2000;4631574.87367687;100;74;"create_sampling_strahler"
"FR_Adou";2001;1.18461855414099e+45;100;74;"create_sampling_strahler"
"FR_Arto";2001;46461006706672304;100;74;"create_sampling_strahler"
"FR_Bret";2001;22867638.2903469;100;74;"create_sampling_strahler"
"FR_Garo";2001;5286114.6141118;100;74;"create_sampling_strahler"
"FR_Loir";2001;4891013.31716285;100;74;"create_sampling_strahler"
"FR_Rhon";2001;5823401.12421894;100;74;"create_sampling_strahler"
"FR_Sein";2001;4832184.74271564;100;74;"create_sampling_strahler"
"FR_Adou";2002;1.10125108172397e+45;100;74;"create_sampling_strahler"
"FR_Arto";2002;45849704135179744;100;74;"create_sampling_strahler"
"FR_Bret";2002;20975296.9370529;100;74;"create_sampling_strahler"
"FR_Garo";2002;5449549.58821035;100;74;"create_sampling_strahler"
"FR_Loir";2002;5428227.47374768;100;74;"create_sampling_strahler"
"FR_Rhon";2002;5790070.62459033;100;74;"create_sampling_strahler"
"FR_Sein";2002;5207362.84463163;100;74;"create_sampling_strahler"
"FR_Adou";2003;9.17358598859174e+44;100;74;"create_sampling_strahler"
"FR_Arto";2003;44701914892478064;100;74;"create_sampling_strahler"
"FR_Bret";2003;17651539.8505954;100;74;"create_sampling_strahler"
"FR_Garo";2003;5839709.18212897;100;74;"create_sampling_strahler"
"FR_Loir";2003;6060920.08647286;100;74;"create_sampling_strahler"
"FR_Rhon";2003;5839699.15727313;100;74;"create_sampling_strahler"
"FR_Sein";2003;5746281.84533102;100;74;"create_sampling_strahler"
"FR_Adou";2004;7.12939678805018e+44;100;74;"create_sampling_strahler"
"FR_Arto";2004;43525529011165696;100;74;"create_sampling_strahler"
"FR_Bret";2004;13911062.9090774;100;74;"create_sampling_strahler"
"FR_Garo";2004;6421943.22816764;100;74;"create_sampling_strahler"
"FR_Loir";2004;6729016.20000884;100;74;"create_sampling_strahler"
"FR_Rhon";2004;5954138.68527793;100;74;"create_sampling_strahler"
"FR_Sein";2004;6417400.48525497;100;74;"create_sampling_strahler"
"FR_Adou";2005;5.41446854148642e+44;100;74;"create_sampling_strahler"
"FR_Arto";2005;42870614772060464;100;74;"create_sampling_strahler"
"FR_Bret";2005;10595804.0880233;100;74;"create_sampling_strahler"
"FR_Garo";2005;7129246.75745321;100;74;"create_sampling_strahler"
"FR_Loir";2005;7359294.12157825;100;74;"create_sampling_strahler"
"FR_Rhon";2005;6105587.68610934;100;74;"create_sampling_strahler"
"FR_Sein";2005;7151897.89522238;100;74;"create_sampling_strahler"
"FR_Adou";2006;4.19231663919648e+44;100;74;"create_sampling_strahler"
"FR_Arto";2006;43264461587742616;100;74;"create_sampling_strahler"
"FR_Bret";2006;8089181.27131085;100;74;"create_sampling_strahler"
"FR_Garo";2006;7859068.1906295;100;74;"create_sampling_strahler"
"FR_Loir";2006;7877032.86644481;100;74;"create_sampling_strahler"
"FR_Rhon";2006;6257867.19993879;100;74;"create_sampling_strahler"
"FR_Sein";2006;7841115.86992867;100;74;"create_sampling_strahler"
"FR_Adou";2007;3.40936748232889e+44;100;74;"create_sampling_strahler"
"FR_Arto";2007;45169756477088880;100;74;"create_sampling_strahler"
"FR_Bret";2007;6406885.32648064;100;74;"create_sampling_strahler"
"FR_Garo";2007;8492832.34658534;100;74;"create_sampling_strahler"
"FR_Loir";2007;8222021.61094003;100;74;"create_sampling_strahler"
"FR_Rhon";2007;6370143.41952971;100;74;"create_sampling_strahler"
"FR_Sein";2007;8361610.71263918;100;74;"create_sampling_strahler"
"FR_Adou";2008;2.94902123690932e+44;100;74;"create_sampling_strahler"
"FR_Arto";2008;48979623049789560;100;74;"create_sampling_strahler"
"FR_Bret";2008;5406565.34506653;100;74;"create_sampling_strahler"
"FR_Garo";2008;8938283.92034839;100;74;"create_sampling_strahler"
"FR_Loir";2008;8362188.65271854;100;74;"create_sampling_strahler"
"FR_Rhon";2008;6403424.77817433;100;74;"create_sampling_strahler"
"FR_Sein";2008;8621043.15977971;100;74;"create_sampling_strahler"
"FR_Adou";2009;2.70322538516791e+44;100;74;"create_sampling_strahler"
"FR_Arto";2009;55038110833794312;100;74;"create_sampling_strahler"
"FR_Bret";2009;4933397.45015358;100;74;"create_sampling_strahler"
"FR_Garo";2009;9172374.94580176;100;74;"create_sampling_strahler"
"FR_Loir";2009;8298911.96349171;100;74;"create_sampling_strahler"
"FR_Rhon";2009;6328534.31543728;100;74;"create_sampling_strahler"
"FR_Sein";2009;8596733.54865055;100;74;"create_sampling_strahler"
"FR_Adou";2010;2.58954972176988e+44;100;74;"create_sampling_strahler"
"FR_Arto";2010;63687547357377488;100;74;"create_sampling_strahler"
"FR_Bret";2010;4875646.74188989;100;74;"create_sampling_strahler"
"FR_Garo";2010;9255525.97040165;100;74;"create_sampling_strahler"
"FR_Loir";2010;8062353.79215882;100;74;"create_sampling_strahler"
"FR_Rhon";2010;6132803.26108246;100;74;"create_sampling_strahler"
"FR_Sein";2010;8341597.60343324;100;74;"create_sampling_strahler"
"FR_Adou";2011;2.55151855564896e+44;100;74;"create_sampling_strahler"
"FR_Arto";2011;75381508214688528;100;74;"create_sampling_strahler"
"FR_Bret";2011;5166771.73807995;100;74;"create_sampling_strahler"
"FR_Garo";2011;9309815.54178937;100;74;"create_sampling_strahler"
"FR_Loir";2011;7699907.60498811;100;74;"create_sampling_strahler"
"FR_Rhon";2011;5822647.54542531;100;74;"create_sampling_strahler"
"FR_Sein";2011;7956941.63070041;100;74;"create_sampling_strahler"
"FR_Adou";2012;2.55893615955176e+44;100;74;"create_sampling_strahler"
"FR_Arto";2012;90911145320695792;100;74;"create_sampling_strahler"
"FR_Bret";2012;5766024.5507006;100;74;"create_sampling_strahler"
"FR_Garo";2012;9481732.7153737;100;74;"create_sampling_strahler"
"FR_Loir";2012;7263062.60942388;100;74;"create_sampling_strahler"
"FR_Rhon";2012;5420861.52280195;100;74;"create_sampling_strahler"
"FR_Sein";2012;7552868.93263003;100;74;"create_sampling_strahler"
"FR_Adou";2013;2.60796582588545e+44;100;74;"create_sampling_strahler"
"FR_Arto";2013;111743028481760256;100;74;"create_sampling_strahler"
"FR_Bret";2013;6634887.42479191;100;74;"create_sampling_strahler"
"FR_Garo";2013;9914991.58968179;100;74;"create_sampling_strahler"
"FR_Loir";2013;6797069.44357515;100;74;"create_sampling_strahler"
"FR_Rhon";2013;4959896.67815839;100;74;"create_sampling_strahler"
"FR_Sein";2013;7217886.29238631;100;74;"create_sampling_strahler"
"FR_Adou";2014;2.71602813458335e+44;100;74;"create_sampling_strahler"
"FR_Arto";2014;140394092199766448;100;74;"create_sampling_strahler"
"FR_Bret";2014;7721548.41252399;100;74;"create_sampling_strahler"
"FR_Garo";2014;10741612.0547615;100;74;"create_sampling_strahler"
"FR_Loir";2014;6335277.93046271;100;74;"create_sampling_strahler"
"FR_Rhon";2014;4473970.36471099;100;74;"create_sampling_strahler"
"FR_Sein";2014;7005610.41455984;100;74;"create_sampling_strahler"
"FR_Adou";2015;2.91119097660556e+44;100;74;"create_sampling_strahler"
"FR_Arto";2015;180719591920232288;100;74;"create_sampling_strahler"
"FR_Bret";2015;8963940.9250647;100;74;"create_sampling_strahler"
"FR_Garo";2015;12081698.235698;100;74;"create_sampling_strahler"
"FR_Loir";2015;5897795.49418682;100;74;"create_sampling_strahler"
"FR_Rhon";2015;3992720.62672403;100;74;"create_sampling_strahler"
"FR_Sein";2015;6934100.5209397;100;74;"create_sampling_strahler"
"FR_Adou";2016;3.21945990521246e+44;100;74;"create_sampling_strahler"
"FR_Arto";2016;237936465802161664;100;74;"create_sampling_strahler"
"FR_Bret";2016;10312551.2381342;100;74;"create_sampling_strahler"
"FR_Garo";2016;14037160.1575163;100;74;"create_sampling_strahler"
"FR_Loir";2016;5493084.06688544;100;74;"create_sampling_strahler"
"FR_Rhon";2016;3537755.59029696;100;74;"create_sampling_strahler"
"FR_Sein";2016;6990597.34290245;100;74;"create_sampling_strahler"
"FR_Adou";2017;3.65226117072163e+44;100;74;"create_sampling_strahler"
"FR_Arto";2017;318159224586307968;100;74;"create_sampling_strahler"
"FR_Bret";2017;11758020.1325228;100;74;"create_sampling_strahler"
"FR_Garo";2017;16673171.4732222;100;74;"create_sampling_strahler"
"FR_Loir";2017;5121140.72594846;100;74;"create_sampling_strahler"
"FR_Rhon";2017;3121947.32420254;100;74;"create_sampling_strahler"
"FR_Sein";2017;7138891.2574179;100;74;"create_sampling_strahler"
"FR_Adou";2018;4.19843704410399e+44;100;74;"create_sampling_strahler"
