"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;2.85858312761293e+36;60;97;"create_sampling_random"
"FR_Arto";1990;1453626944740987;60;97;"create_sampling_random"
"FR_Bret";1990;16390640.9404163;60;97;"create_sampling_random"
"FR_Garo";1990;10310456.880148;60;97;"create_sampling_random"
"FR_Loir";1990;28660314.8227659;60;97;"create_sampling_random"
"FR_Rhon";1990;9975150.06721747;60;97;"create_sampling_random"
"FR_Sein";1990;19346122.5424099;60;97;"create_sampling_random"
"FR_Adou";1991;3.28888559734399e+36;60;97;"create_sampling_random"
"FR_Arto";1991;1560832190287853;60;97;"create_sampling_random"
"FR_Bret";1991;14097477.2437372;60;97;"create_sampling_random"
"FR_Garo";1991;10071198.2528011;60;97;"create_sampling_random"
"FR_Loir";1991;21260100.815167;60;97;"create_sampling_random"
"FR_Rhon";1991;9577519.31904252;60;97;"create_sampling_random"
"FR_Sein";1991;15939185.5037809;60;97;"create_sampling_random"
"FR_Adou";1992;4.21446691929429e+36;60;97;"create_sampling_random"
"FR_Arto";1992;1710281716230036;60;97;"create_sampling_random"
"FR_Bret";1992;12353651.2393106;60;97;"create_sampling_random"
"FR_Garo";1992;9824867.59149191;60;97;"create_sampling_random"
"FR_Loir";1992;15843747.5224222;60;97;"create_sampling_random"
"FR_Rhon";1992;9194761.33648245;60;97;"create_sampling_random"
"FR_Sein";1992;13162855.95097;60;97;"create_sampling_random"
"FR_Adou";1993;6.58389886922228e+36;60;97;"create_sampling_random"
"FR_Arto";1993;1942360908328975;60;97;"create_sampling_random"
"FR_Bret";1993;11274402.0472134;60;97;"create_sampling_random"
"FR_Garo";1993;9558576.55357252;60;97;"create_sampling_random"
"FR_Loir";1993;11942098.8119394;60;97;"create_sampling_random"
"FR_Rhon";1993;8826451.04985435;60;97;"create_sampling_random"
"FR_Sein";1993;10934828.4813762;60;97;"create_sampling_random"
"FR_Adou";1994;1.27915468151959e+37;60;97;"create_sampling_random"
"FR_Arto";1994;2287152410495063;60;97;"create_sampling_random"
"FR_Bret";1994;10916656.7451674;60;97;"create_sampling_random"
"FR_Garo";1994;9263178.97470954;60;97;"create_sampling_random"
"FR_Loir";1994;9180204.22526762;60;97;"create_sampling_random"
"FR_Rhon";1994;8472147.3577329;60;97;"create_sampling_random"
"FR_Sein";1994;9182013.25990096;60;97;"create_sampling_random"
"FR_Adou";1995;2.88366772980691e+37;60;97;"create_sampling_random"
"FR_Arto";1995;2746765944838914;60;97;"create_sampling_random"
"FR_Bret";1995;11308003.5228109;60;97;"create_sampling_random"
"FR_Garo";1995;8937284.06007462;60;97;"create_sampling_random"
"FR_Loir";1995;7261452.86342637;60;97;"create_sampling_random"
"FR_Rhon";1995;8131362.83441722;60;97;"create_sampling_random"
"FR_Sein";1995;7836953.27141428;60;97;"create_sampling_random"
"FR_Adou";1996;6.6227800288338e+37;60;97;"create_sampling_random"
"FR_Arto";1996;3282171605830854;60;97;"create_sampling_random"
"FR_Bret";1996;12463714.6093789;60;97;"create_sampling_random"
"FR_Garo";1996;8588510.19008523;60;97;"create_sampling_random"
"FR_Loir";1996;5959788.00106925;60;97;"create_sampling_random"
"FR_Rhon";1996;7803553.04635391;60;97;"create_sampling_random"
"FR_Sein";1996;6838520.34313447;60;97;"create_sampling_random"
"FR_Adou";1997;1.35036807953274e+38;60;97;"create_sampling_random"
"FR_Arto";1997;3820064819088224;60;97;"create_sampling_random"
"FR_Bret";1997;14344461.9033593;60;97;"create_sampling_random"
"FR_Garo";1997;8232224.90286879;60;97;"create_sampling_random"
"FR_Loir";1997;5110488.05541131;60;97;"create_sampling_random"
"FR_Rhon";1997;7488121.75123286;60;97;"create_sampling_random"
"FR_Sein";1997;6133694.60812028;60;97;"create_sampling_random"
"FR_Adou";1998;2.22050944699667e+38;60;97;"create_sampling_random"
"FR_Arto";1998;4286448623518062;60;97;"create_sampling_random"
"FR_Bret";1998;16747052.3240934;60;97;"create_sampling_random"
"FR_Garo";1998;7888581.65181504;60;97;"create_sampling_random"
"FR_Loir";1998;4598913.15643855;60;97;"create_sampling_random"
"FR_Rhon";1998;7184437.61686341;60;97;"create_sampling_random"
"FR_Sein";1998;5678848.19823549;60;97;"create_sampling_random"
"FR_Adou";1999;2.85417165471189e+38;60;97;"create_sampling_random"
"FR_Arto";1999;4639670860775796;60;97;"create_sampling_random"
"FR_Bret";1999;19185488.0976066;60;97;"create_sampling_random"
"FR_Garo";1999;7578991.95956816;60;97;"create_sampling_random"
"FR_Loir";1999;4348776.95469893;60;97;"create_sampling_random"
"FR_Rhon";1999;6891857.76476429;60;97;"create_sampling_random"
"FR_Sein";1999;5439799.65723375;60;97;"create_sampling_random"
"FR_Adou";2000;2.94543403356555e+38;60;97;"create_sampling_random"
"FR_Arto";2000;4870542106778647;60;97;"create_sampling_random"
"FR_Bret";2000;20911252.5902141;60;97;"create_sampling_random"
"FR_Garo";2000;7323083.67899536;60;97;"create_sampling_random"
"FR_Loir";2000;4310983.74301912;60;97;"create_sampling_random"
"FR_Rhon";2000;6609753.56352059;60;97;"create_sampling_random"
"FR_Sein";2000;5390298.98466183;60;97;"create_sampling_random"
"FR_Adou";2001;2.588060291111e+38;60;97;"create_sampling_random"
"FR_Arto";2001;4977399553365020;60;97;"create_sampling_random"
"FR_Bret";2001;21206377.5187475;60;97;"create_sampling_random"
"FR_Garo";2001;7136774.46764453;60;97;"create_sampling_random"
"FR_Loir";2001;4453032.00845029;60;97;"create_sampling_random"
"FR_Rhon";2001;6337534.68404598;60;97;"create_sampling_random"
"FR_Sein";2001;5508774.84545735;60;97;"create_sampling_random"
"FR_Adou";2002;2.06274946492888e+38;60;97;"create_sampling_random"
"FR_Arto";2002;4951460486262247;60;97;"create_sampling_random"
"FR_Bret";2002;19821797.4913497;60;97;"create_sampling_random"
"FR_Garo";2002;7031579.11909379;60;97;"create_sampling_random"
"FR_Loir";2002;4748416.56083628;60;97;"create_sampling_random"
"FR_Rhon";2002;6074668.39404208;60;97;"create_sampling_random"
"FR_Sein";2002;5773383.24068282;60;97;"create_sampling_random"
"FR_Adou";2003;1.57089718884425e+38;60;97;"create_sampling_random"
"FR_Arto";2003;4791035704240766;60;97;"create_sampling_random"
"FR_Bret";2003;17164922.4697801;60;97;"create_sampling_random"
"FR_Garo";2003;7014902.21862926;60;97;"create_sampling_random"
"FR_Loir";2003;5165872.32973888;60;97;"create_sampling_random"
"FR_Rhon";2003;5820692.2554119;60;97;"create_sampling_random"
"FR_Sein";2003;6155948.00418862;60;97;"create_sampling_random"
"FR_Adou";2004;1.18847297423208e+38;60;97;"create_sampling_random"
"FR_Arto";2004;4528401448871816;60;97;"create_sampling_random"
"FR_Bret";2004;14026504.8670403;60;97;"create_sampling_random"
"FR_Garo";2004;7090937.03476214;60;97;"create_sampling_random"
"FR_Loir";2004;5659908.19892252;60;97;"create_sampling_random"
"FR_Rhon";2004;5575219.61005182;60;97;"create_sampling_random"
"FR_Sein";2004;6616446.85466415;60;97;"create_sampling_random"
"FR_Adou";2005;9.21870780169172e+37;60;97;"create_sampling_random"
"FR_Arto";2005;4237635933913507;60;97;"create_sampling_random"
"FR_Bret";2005;11120521.6958916;60;97;"create_sampling_random"
"FR_Garo";2005;7261845.24014816;60;97;"create_sampling_random"
"FR_Loir";2005;6166309.88175224;60;97;"create_sampling_random"
"FR_Rhon";2005;5337938.31834945;60;97;"create_sampling_random"
"FR_Sein";2005;7100902.84818069;60;97;"create_sampling_random"
"FR_Adou";2006;7.53960060098884e+37;60;97;"create_sampling_random"
"FR_Arto";2006;4014021180236748;60;97;"create_sampling_random"
"FR_Bret";2006;8828762.764737;60;97;"create_sampling_random"
"FR_Garo";2006;7529012.70805629;60;97;"create_sampling_random"
"FR_Loir";2006;6607182.74309066;60;97;"create_sampling_random"
"FR_Rhon";2006;5108604.01309533;60;97;"create_sampling_random"
"FR_Sein";2006;7545722.11487956;60;97;"create_sampling_random"
"FR_Adou";2007;6.6432881132274e+37;60;97;"create_sampling_random"
"FR_Arto";2007;3948984643988760;60;97;"create_sampling_random"
"FR_Bret";2007;7228990.12417657;60;97;"create_sampling_random"
"FR_Garo";2007;7894266.89538794;60;97;"create_sampling_random"
"FR_Loir";2007;6907101.90112827;60;97;"create_sampling_random"
"FR_Rhon";2007;4887029.5739262;60;97;"create_sampling_random"
"FR_Sein";2007;7889336.4020641;60;97;"create_sampling_random"
"FR_Adou";2008;6.35379875252083e+37;60;97;"create_sampling_random"
"FR_Arto";2008;4125994950533308;60;97;"create_sampling_random"
"FR_Bret";2008;6241273.97315166;60;97;"create_sampling_random"
"FR_Garo";2008;8360964.45627505;60;97;"create_sampling_random"
"FR_Loir";2008;7015001.25969466;60;97;"create_sampling_random"
"FR_Rhon";2008;4673072.60943033;60;97;"create_sampling_random"
"FR_Sein";2008;8087672.31345133;60;97;"create_sampling_random"
"FR_Adou";2009;6.51573329258366e+37;60;97;"create_sampling_random"
"FR_Arto";2009;4639057613741586;60;97;"create_sampling_random"
"FR_Bret";2009;5746790.17861944;60;97;"create_sampling_random"
"FR_Garo";2009;8934837.14219676;60;97;"create_sampling_random"
"FR_Loir";2009;6920516.3917291;60;97;"create_sampling_random"
"FR_Rhon";2009;4466622.51633868;60;97;"create_sampling_random"
"FR_Sein";2009;8126345.68166081;60;97;"create_sampling_random"
"FR_Adou";2010;6.95163055504377e+37;60;97;"create_sampling_random"
"FR_Arto";2010;5620791023881023;60;97;"create_sampling_random"
"FR_Bret";2010;5640978.69752989;60;97;"create_sampling_random"
"FR_Garo";2010;9624473.37463469;60;97;"create_sampling_random"
"FR_Loir";2010;6655089.05153146;60;97;"create_sampling_random"
"FR_Rhon";2010;4267588.27468864;60;97;"create_sampling_random"
"FR_Sein";2010;8023153.41842334;60;97;"create_sampling_random"
"FR_Adou";2011;7.43285862953503e+37;60;97;"create_sampling_random"
"FR_Arto";2011;7266198139077758;60;97;"create_sampling_random"
"FR_Bret";2011;5840014.37171883;60;97;"create_sampling_random"
"FR_Garo";2011;10441347.5597628;60;97;"create_sampling_random"
"FR_Loir";2011;6277451.11777862;60;97;"create_sampling_random"
"FR_Rhon";2011;4075887.66017642;60;97;"create_sampling_random"
"FR_Sein";2011;7819708.53984672;60;97;"create_sampling_random"
"FR_Adou";2012;7.72819739222868e+37;60;97;"create_sampling_random"
"FR_Arto";2012;9835724298188676;60;97;"create_sampling_random"
"FR_Bret";2012;6266704.42219019;60;97;"create_sampling_random"
"FR_Garo";2012;11399375.1857359;60;97;"create_sampling_random"
"FR_Loir";2012;5852319.91365992;60;97;"create_sampling_random"
